"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
"NAGATO272","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)","N/D","Disabilitato","Interattivo/Background","30/11/1999 00:00:00","267011","Microsoft Corporation","Gestore COM","N/D","Aggiorna i modelli dei criteri dei diritti AD RMS per l'utente. Con questo processo non viene visualizzato un messaggio di richiesta delle credenziali se l'autenticazione per il servizio Web di distribuzione dei modelli nel server non riesce. In questo ","Disabilitata","Disabilitata","","Everyone","Disabilitata","01:00:00","Dati di pianificazione non disponibili in questo formato.","All'accesso","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"NAGATO272","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)","N/D","Pronta","Interattivo/Background","30/11/1999 00:00:00","267011","Microsoft Corporation","Gestore COM","N/D","Aggiorna i modelli dei criteri dei diritti AD RMS per l'utente. Con questo processo viene visualizzato un messaggio di richiesta delle credenziali se l'autenticazione per il servizio Web di distribuzione dei modelli nel server non riesce.","Abilitata","Disabilitata","Interrompi in modalit… di alimentazione a batterie, Non avviare se il sistema Š alimentato a batterie","Everyone","Disabilitata","01:00:00","Dati di pianificazione non disponibili in questo formato.","All'accesso","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
"NAGATO272","\Microsoft\Windows\AppID\PolicyConverter","N/D","Disabilitato","Interattivo/Background","30/11/1999 00:00:00","267011","Microsoft Corporation","%windir%\system32\appidpolicyconverter.exe ","N/D","Converte i criteri di restrizione software dal formato XML al formato binario.","Disabilitata","Disabilitata","","SYSTEM","Disabilitata","72:00:00","Dati di pianificazione non disponibili in questo formato.","Solo su richiesta","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"NAGATO272","\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck","N/D","Disabilitato","Interattivo/Background","30/11/1999 00:00:00","267011","Microsoft Corporation","%windir%\system32\appidcertstorecheck.exe ","N/D","Controlla la cache dei certificati AppID per individuare eventuali certificati non validi o revocati.","Disabilitata","Avvia solo se inattivo da 3 minuti, Se non inattivo riprova per 1380 minuti Interrompi l'operazione se lo stato di inattivit… termina","Interrompi in modalit… di alimentazione a batterie, Non avviare se il sistema Š alimentato a batterie","SERVIZIO LOCALE","Disabilitata","72:00:00","Dati di pianificazione non disponibili in questo formato.","All'avvio del sistema","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
"NAGATO272","\Microsoft\Windows\Application Experience\MareBackup","N/D","Pronta","Interattivo/Background","30/11/1999 00:00:00","267011","Microsoft Corporation","Azioni multiple","Azioni multiple","Raccoglie i dati dell'applicazione Win32 per lo scenario di backup dell'app","Abilitata","Disabilitata","Interrompi in modalit… di alimentazione a batterie, Non avviare se il sistema Š alimentato a batterie","SYSTEM","Disabilitata","72:00:00","Dati di pianificazione non disponibili in questo formato.","Solo su richiesta","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"NAGATO272","\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser","04/10/2024 03:48:30","Pronta","Interattivo/Background","03/10/2024 15:40:20","1056","Microsoft Corporation","%windir%\system32\sc.exe start InventorySvc","N/D","Raccoglie informazioni di telemetria del programma in caso di consenso esplicito alla partecipazione al programma Analisi utilizzo software Microsoft.","Abilitata","Disabilitata","","SYSTEM","Disabilitata","96:00:00","Dati di pianificazione non disponibili in questo formato.","Una sola volta, Ogni ora ","03:00:00","01/09/2008","N/D","N/D","N/D","6 ora/e, 0 minuto/i","Nessuno","Disabilitata","Disabilitata"
"NAGATO272","\Microsoft\Windows\Application Experience\PcaPatchDbTask","04/10/2024 03:59:35","Pronta","Interattivo/Background","03/10/2024 15:40:20","0","Microsoft Corporation","%windir%\system32\rundll32.exe %windir%\system32\PcaSvc.dll,PcaPatchSdbTask","N/D","Updates compatibility database","Abilitata","Disabilitata","","SYSTEM","Disabilitata","24:00:00","Dati di pianificazione non disponibili in questo formato.","Una sola volta, Ogni ora ","03:00:00","01/09/2008","N/D","N/D","N/D","12 ora/e, 0 minuto/i","Nessuno","Disabilitata","Disabilitata"
"NAGATO272","\Microsoft\Windows\Application Experience\PcaWallpaperAppDetect","06/10/2024 12:00:53","Pronta","Interattivo/Background","03/10/2024 15:40:20","0","Microsoft Corporation","%windir%\system32\rundll32.exe %windir%\system32\PcaSvc.dll,PcaWallpaperAppDetect","N/D","Detect 3rd party wallpaper apps","Abilitata","Disabilitata","","INTERACTIVE","Disabilitata","24:00:00","Dati di pianificazione non disponibili in questo formato.","Una sola volta, Ogni ora ","12:00:00","01/03/2024","N/D","N/D","N/D","72 ora/e, 0 minuto/i","Nessuno","Disabilitata","Disabilitata"
