19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699357184.9797852;2023-11-07 12:39:44.602717;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699357204.3809295;2023-11-07 12:40:04.035919;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699357276.9343317;2023-11-07 12:41:16.573628;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699357350.7614856;2023-11-07 12:42:30.385291;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699357355.260462;2023-11-07 12:42:34.899380;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\usbdview\package\ansic.py;1699880774.1190698;2023-11-13 14:06:12.412073;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\usbdview\package\ansic.py;1699880788.5922549;2023-11-13 14:06:28.173786;
user;pc;versione_python;name_program;timestamp;localtime;
